Date,index,Apple,market return,Apple return
9/22/2014,1994.290039,99.361444,-0.008013323,0.000990479
9/23/2014,1982.77002,100.91489,-0.005776501,0.015634294
9/24/2014,1998.300049,100.039849,0.007832491,-0.008671079
9/25/2014,1965.98999,96.225065,-0.016168773,-0.038132645
9/26/2014,1982.849976,99.056657,0.008575825,0.029426761
9/29/2014,1977.800049,98.427414,-0.002546802,-0.006352354
9/30/2014,1972.290039,99.056657,-0.002785929,0.006392965
10/1/2014,1946.160034,97.513045,-0.013248561,-0.015583122
10/2/2014,1946.170044,98.220945,5.14E-06,0.007259542
10/3/2014,1967.900024,97.945652,0.011165509,-0.002802793
10/6/2014,1964.819946,97.945652,-0.00156516,0
10/7/2014,1935.099976,97.090271,-0.015126053,-0.008733221
10/8/2014,1968.890015,99.105819,0.01746165,0.020759526
10/9/2014,1928.209961,99.322115,-0.020661415,0.002182475
10/10/2014,1906.130005,99.036996,-0.011451012,-0.00287065
10/13/2014,1874.73999,98.132453,-0.01646793,-0.009133385
10/14/2014,1877.699951,97.090271,0.001578865,-0.010620156
10/15/2014,1862.48999,95.900609,-0.008100315,-0.012253154
10/16/2014,1862.76001,94.642124,0.000144978,-0.013122805
10/17/2014,1886.76001,96.028422,0.012884107,0.01464779
10/20/2014,1904.01001,98.083298,0.009142657,0.021398623
10/21/2014,1941.280029,100.747749,0.019574487,0.027165186
10/22/2014,1927.109985,101.259006,-0.00729933,0.005074625
10/23/2014,1950.819946,103.068084,0.012303377,0.017865848
10/24/2014,1964.579956,103.451529,0.00705345,0.003720308
10/27/2014,1961.630005,103.343377,-0.001501568,-0.001045436
10/28/2014,1985.050049,104.945978,0.011939073,0.015507535
10/29/2014,1982.300049,105.535893,-0.001385355,0.00562113
10/30/2014,1994.650024,105.18195,0.006230124,-0.003353769
10/31/2014,2018.050049,106.184803,0.011731394,0.009534459
11/3/2014,2017.810059,107.561274,-0.000118922,0.012962976
11/4/2014,2012.099976,106.774717,-0.002829842,-0.007312641
11/5/2014,2023.569946,107.03035,0.005700497,0.002394134
11/6/2014,2031.209961,107.336454,0.003775513,0.002859974
11/7/2014,2031.920044,107.64257,0.000349586,0.00285193
11/10/2014,2038.26001,107.464828,0.003120185,-0.001651224
11/11/2014,2039.680054,108.32391,0.000696694,0.007994076
11/12/2014,2038.25,109.854469,-0.000701117,0.014129466
11/13/2014,2039.329956,111.404775,0.000529845,0.014112362
11/14/2014,2039.819946,112.747715,0.00024027,0.0120546
11/17/2014,2041.319946,112.560096,0.000735359,-0.00166406
11/18/2014,2051.800049,114.021534,0.005133984,0.012983624
11/19/2014,2048.719971,113.231567,-0.001501159,-0.006928226
11/20/2014,2052.75,114.850994,0.001967096,0.014301904
11/21/2014,2063.5,115.00899,0.005236877,0.001375661
11/24/2014,2069.409912,117.141891,0.002864023,0.018545515
11/25/2014,2067.030029,116.124813,-0.00115003,-0.008682445
11/26/2014,2072.830078,117.507253,0.002805982,0.011904777
11/28/2014,2067.560059,117.438131,-0.002542427,-0.000588236
12/1/2014,2053.439941,113.626551,-0.006829363,-0.032456068
12/2/2014,2066.550049,113.192068,0.006384461,-0.003823781
12/3/2014,2074.330078,114.475763,0.003764743,0.011340856
12/4/2014,2071.919922,114.04128,-0.001161896,-0.003795415
12/5/2014,2075.370117,113.557429,0.001665216,-0.004242771
12/8/2014,2060.310059,110.990045,-0.007256565,-0.022608684
12/9/2014,2059.820068,112.688471,-0.000237824,0.015302508
12/10/2014,2026.140015,110.545685,-0.016350968,-0.019015131
12/11/2014,2035.329956,110.219831,0.004535689,-0.002947686
12/12/2014,2002.329956,108.35354,-0.016213587,-0.016932443
12/15/2014,1989.630005,106.872356,-0.006342587,-0.013669918
12/16/2014,1972.73999,105.410918,-0.008489023,-0.013674612
12/17/2014,2012.890015,108.037554,0.020352416,0.024918064
12/18/2014,2061.22998,111.236909,0.024015204,0.02961336
12/19/2014,2070.649902,110.37782,0.004570049,-0.007723057
12/22/2014,2078.540039,111.523272,0.003810464,0.010377556
12/23/2014,2082.169922,111.128288,0.001746362,-0.003541718
12/24/2014,2081.879883,110.604938,-0.000139297,-0.004709422
12/26/2014,2088.77002,112.560096,0.003309575,0.01767695
12/29/2014,2090.570068,112.481106,0.000861774,-0.000701758
12/30/2014,2080.350098,111.108535,-0.004888604,-0.012202681
12/31/2014,2058.899902,108.99538,-0.010310859,-0.019018836
1/2/2015,2058.199951,107.958556,-0.000339964,-0.00951255
1/5/2015,2020.579956,104.91719,-0.018278105,-0.028171607
1/6/2015,2002.609985,104.927067,-0.008893472,9.41E-05
1/7/2015,2025.900024,106.398374,0.011629843,0.014022187
1/8/2015,2062.139893,110.486441,0.017888281,0.038422269
1/9/2015,2044.810059,110.604938,-0.008403811,0.001072503
1/12/2015,2028.26001,107.879558,-0.008093685,-0.024640672
1/13/2015,2023.030029,108.837391,-0.002578555,0.008878726
1/14/2015,2011.27002,108.422661,-0.005813067,-0.003810547
1/15/2015,1992.670044,105.480039,-0.009247876,-0.027140286
1/16/2015,2019.420044,104.660449,0.013424199,-0.007770096
1/20/2015,2022.550049,107.356207,0.001549952,0.02575718
1/21/2015,2032.119995,108.175797,0.004731624,0.007634305
1/22/2015,2063.149902,110.990045,0.015269722,0.026015505
1/23/2015,2051.820068,111.562771,-0.005491522,0.005160156
1/26/2015,2057.090088,111.681261,0.002568461,0.001062093
1/27/2015,2029.550049,107.770937,-0.013387862,-0.035013251
1/28/2015,2002.160034,113.863538,-0.01349561,0.056532876
1/29/2015,2021.25,117.408509,0.009534685,0.031133505
1/30/2015,1994.98999,115.690337,-0.012991965,-0.014634135
2/2/2015,2020.849976,117.141891,0.012962464,0.012546891
2/3/2015,2050.030029,117.161645,0.014439495,0.000168633
2/4/2015,2041.51001,118.060226,-0.004156046,0.007669583
2/5/2015,2062.52002,118.902885,0.010291407,0.007137535
2/6/2015,2055.469971,117.901617,-0.003418172,-0.008420889
2/9/2015,2046.73999,118.684787,-0.004247195,0.006642572
2/10/2015,2068.590088,120.964894,0.010675561,0.019211451
2/11/2015,2068.530029,123.800164,-2.90E-05,0.023438784
2/12/2015,2088.47998,125.366504,0.009644506,0.012652164
2/13/2015,2096.98999,125.981145,0.004074739,0.004902753
2/17/2015,2100.340088,126.72466,0.001597575,0.005901796
2/18/2015,2099.679932,127.606964,-0.000314309,0.00696237
2/19/2015,2097.449951,127.339294,-0.001062058,-0.002097613
2/20/2015,2110.300049,128.380218,0.006126534,0.008174413
2/23/2015,2109.659912,131.849954,-0.000303339,0.02702703
2/24/2015,2115.47998,131.027129,0.002758771,-0.006240617
2/25/2015,2113.860107,127.676351,-0.000765724,-0.025573162
2/26/2015,2110.73999,129.292261,-0.001476028,0.012656298
2/27/2015,2104.5,127.349218,-0.002956304,-0.015028301
